Date;;Site;Name;X;Y;pH;O2 (%);conductivity (µS/cm);T (°C);Elevation (m);Spring/stream;Comments;
09/11/2022;nan;Listi road;stream-NP22-KT-S1-Nov;85.86253;27.90365;8.277;100.4;270;11.9;2336;stream;"Qstream estimated between 10-50L/min.
Dry stream in May (pre-monsoon)";
10/11/2022;nan;Listi road;NP22-KT-S3-Nov;85.86906;27.90812;8.128;98.0;323;10.5;2461;stream;"Dry stream in May (pre-monsoon).
Saw limestones";
10/11/2022;nan;Listi road;NP22-KT-S7-Nov;85.86951;27.91374;8.364;100.8;312;11.5;2507;stream;Dry stream in May (pre-monsoon);
10/11/2022;nan;Listi road;NP22-KT-S8-Nov;85.86556;27.91811;8.171;101;201;12.1;2532;stream;same water than the spring;
10/11/2022;nan;way to low elevation;NP22-KT-S15-Nov;85.86057;27.93151;7.729;101.9;48.3;11.0;2450;stream;"Kahule Khola stream.
Saw gneiss rocks in the chanel";
10/11/2022;nan;way to low elevation;NP22-KT-S17-Nov;85.86031;27.91660;8.205;101.3;160.2;14.7;2363;stream;not on a stable slope. Boulders of schists in the chanel.;
13/11/2022;nan;Kahule Khola outlet;NP22-11-KT-117;85.88043;27.87400;8.446;103.6;253;15.1;1149;stream;;
11/11/2022;15:00;Kahule Khola outlet;NP22-11.KT109;85.86526;27.88217;8.411;103;238;14.2;1482;stream;Kahule Khola below Kahule village;sample 4 ME + Isotope
11/11/2022;11:00;stream outcrope;NP22-11-KT101;85.87762;27.87874;8.532;101;348;16.2;1528;tributary;small stream in gully with waterfall and staircases;sample 4 ME + Isotope
11/11/2022;12:15;stream way to kahule village;NP22-11.KT102;85.87199;27.88272;8.627;102;345;16.2;1558;tributary;cascading stream with waterfalls and rapids big blocks, landslides and massmovement, seems to origine below Listi temple;sample 4 ME + Isotope
11/11/2022;13:05;tributary way to Kahole Kohla;NP22-11.KT105;85.86917;27.88366;8.32;101;330;16.6;1575;tributary;tributary small stream coming from Listior above;sample 4 ME + Isotope
11/11/2022;13:30;stream at Kahule village;NP22-11-KT106;85.86597;27.88424;8.42;102;348;;1604;tributary;stream with cascades and small waterfalls;sample 4 ME + Isotope
11/11/2022;14:30;little stream;NP22-11-KT108;85.86341;27.8859;8.13;99.8;349;17.8;1692;tributary;small stream next to 107;sample 4 ME + Isotope
